region_name,country_name,reporting_year,headcount,poverty_gap,poverty_severity,mean,median,gini,decile1,decile10
Other High Income Countries,Cyprus,2009,0.003530220135,0.001551410384,0.001122883395,57.529996950883,47.100464576577,0.321082613769,0.035010611684,0.26170838863
Other High Income Countries,Cyprus,2010,0.004341123291,0.001299699654,0.000726607462,58.433057179021,48.076341723142,0.314577890712,0.035607508886,0.256916882688
Other High Income Countries,Cyprus,2011,0.003859929347,0.001083093709,0.000428316088,58.164213942711,46.912144476502,0.326254980735,0.034220004414,0.266870826455
Other High Income Countries,Cyprus,2012,0.002845808576,0.000597462658,0.000199602128,54.931915449807,43.392000556746,0.343124334354,0.032892069701,0.280222821067
Other High Income Countries,Cyprus,2013,0.004751377607,0.001964545373,0.001272520468,52.722413782911,39.827027987606,0.370418334491,0.031475671055,0.308650362835
Other High Income Countries,Cyprus,2014,0.009842406752,0.002425678438,0.001404635045,49.136960951915,38.675050081342,0.355652848506,0.030203056757,0.28810626055
Other High Income Countries,Cyprus,2015,0.005123363547,0.001307682363,0.000575763311,50.065902740111,40.298626759632,0.339663779961,0.031944007917,0.274560237159
Other High Income Countries,Cyprus,2016,0.003342443789,0.00108133834,0.000642011264,51.739862194856,41.924973797766,0.328916821996,0.034132748387,0.267957603616
Other High Income Countries,Cyprus,2017,0.001978023319,0.000685873597,0.000388812774,52.814042990439,44.010775078237,0.314162340009,0.034495115819,0.254532631549
Other High Income Countries,Cyprus,2018,0.003972599227,0.001189097198,0.000619102827,56.864968716631,45.949747468616,0.327397530763,0.034671827034,0.27157987455
Other High Income Countries,Cyprus,2019,0.00614715492,0.00287184077,0.002119686007,57.267392395227,47.971773010833,0.312232412644,0.034975877424,0.254639601106
Other High Income Countries,Cyprus,2020,0.00226917638,0.000952311402,0.000525148943,58.770130616849,48.357360453709,0.317279431157,0.035535399835,0.262784046762
Other High Income Countries,Cyprus,2021,0.001756643519,0.000630339407,0.000379118692,60.301764628637,50.70977201934,0.312517709648,0.035470922564,0.256565859942
Other High Income Countries,Cyprus,2022,0.001047595338,0.000271511182,0.000103653732,59.539417447658,49.293950021877,0.315340754776,0.03626900749,0.262324313702
Europe & Central Asia,Czechia,2002,0.024606890861,0.004666454396,0.001455170091,28.256495801109,25.111355380529,0.265550950921,0.040539056315,0.22177059562
